dteday,season_day,yr_day,mnth_day,holiday_day,weekday_day,workingday_day,weathersit_day,temp_day,atemp_day,hum_day,windspeed_day,casual_day,registered_day,cnt_day,temp_original_day,atemp_original_day,hum_original_day,windspeed_original_day,season_hour,yr_hour,mnth_hour,hr,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,cnt_hour,temp_original_hour,atemp_original_hour,hum_original_hour,windspeed_original_hour
2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,8.175849,7.99925,80.58330000000001,10.749882,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,3.2799999999999994,3.0014000000000003,81.0,0.0
2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,8.175849,7.99925,80.58330000000001,10.749882,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,2.34,1.9982000000000006,80.0,0.0
2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,8.175849,7.99925,80.58330000000001,10.749882,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,2.34,1.9982000000000006,80.0,0.0
2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,8.175849,7.99925,80.58330000000001,10.749882,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,3.2799999999999994,3.0014000000000003,75.0,0.0
2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,8.175849,7.99925,80.58330000000001,10.749882,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,3.2799999999999994,3.0014000000000003,75.0,0.0
2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,8.175849,7.99925,80.58330000000001,10.749882,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,3.2799999999999994,1.0015999999999998,75.0,6.0032
2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,8.175849,7.99925,80.58330000000001,10.749882,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,2.34,1.9982000000000006,80.0,0.0
2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,8.175849,7.99925,80.58330000000001,10.749882,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,1.4000000000000004,1.0015999999999998,86.0,0.0
2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,8.175849,7.99925,80.58330000000001,10.749882,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,3.2799999999999994,3.0014000000000003,75.0,0.0
2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,8.175849,7.99925,80.58330000000001,10.749882,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,7.040000000000001,7.000999999999998,76.0,0.0
2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,8.175849,7.99925,80.58330000000001,10.749882,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,9.86,9.997399999999999,76.0,16.997899999999998
